Running time,Based on,Clean box office,Clean budget,English,Year,Covid-19,20th Century Fox,Other studio,Paramount Pictures,Sony Pictures Releasing,Streaming,Universal Pictures,Walt Disney Studios,Warner Bros. Pictures,Month,G,PG,PG-13,R,Part_of_franchise,Sci-fi,Biography,Documentary,Mystery & thriller,Drama,Holiday,Western,Horror,Fantasy,Action,Kids & family,Lgbtq+,War,Crime,Comedy,History,Music,Romance,Adventure,Animation,Musical,Lionsgate,Max_prev_box_office_director,Prev_box_office_actors,Avg_ratings_score_director,Median_main_genre_box_office,Weekly_budget_ratio,Previous_movie_box_office
95.0,0,18400000.0,20000000.0,1,2000,0,False,True,False,False,False,False,False,False,7,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,120900000.0,278108875.0,54.0,19300000.0,0.136986301369863,0.0
130.0,0,291400000.0,100000000.0,1,2000,0,False,True,False,False,False,False,False,False,7,False,False,True,False,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,678200000.0,0.0,78.0,21850000.0,0.684931506849315,0.0
101.0,1,113900000.0,45000000.0,1,2000,0,False,False,False,False,False,False,True,False,8,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,0.0,337069330.6,64.53950143811011,18500000.0,0.2222222222222222,0.0
112.0,1,190200000.0,95000000.0,1,2000,0,False,False,False,True,False,False,False,False,8,False,False,False,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,352900000.0,1075217347.2,62.5,45700000.0,0.4691358024691358,0.0
130.0,0,128900000.0,62500000.0,1,2000,0,False,False,False,False,False,False,False,True,8,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False,182000000.0,2952309984.4,66.0,21000000.0,0.30864197530864196,0.0
103.0,0,90700000.0,65000000.0,1,2000,0,False,True,False,False,False,False,False,False,8,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,0.0,2176609786.6,64.53950143811011,19300000.0,0.3611111111111111,0.0
107.0,1,40000000.0,65000000.0,1,2000,0,False,False,True,False,False,False,False,False,8,False,False,False,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,351600000.0,425744441.1999999,53.5,22000000.0,0.3611111111111111,0.0
118.0,0,50100000.0,50000000.0,1,2000,0,False,False,False,False,False,False,False,True,8,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,71500000.0,2266814075.4,49.5,12800000.0,0.2777777777777778,0.0
107.0,0,104100000.0,33000000.0,1,2000,0,False,False,False,False,False,False,False,True,8,False,False,False,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,799483643.0,64.53950143811011,22207720.0,0.4074074074074074,0.0
95.0,1,28000000.0,35000000.0,1,2000,0,False,False,False,False,False,False,False,True,8,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,False,38000000.0,86040000.0,23.0,27500000.0,0.43209876543209874,0.0
